grid_size, iteration bound, run, total_points, points_inside
5000, 2000, 0, 1.0000000000000002, 0.8324858590871516
100, 500, 9, 1.0, 0.8290856591112978
500, 500, 9, 1.0, 0.8323493397080508
1000, 50, 9, 0.9999999999999997, 0.8234168564709976
1000, 500, 9, 0.9999999999999997, 0.8318830930773801
100, 2000, 9, 1.0, 0.8294800827333577
500, 2000, 9, 1.0, 0.8329960541962315
5000, 2000, 3, 1.0000000000000024, 0.8323997957269563
5000, 50, 7, 1.000000000000001, 0.823258597790578
1000, 2000, 9, 0.9999999999999997, 0.8325218956917771
5000, 500, 6, 0.9999999999999964, 0.8317489056885335
5000, 500, 7, 1.000000000000001, 0.8316811959594559
5000, 50, 9, 1.0000000000000029, 0.823315103516975
5000, 50, 8, 1.0000000000000007, 0.8232447402862771
5000, 2000, 4, 1.0000000000000018, 0.8324104978382836
5000, 2000, 5, 0.9999999999999987, 0.8324203320042908
5000, 500, 8, 1.0000000000000007, 0.831681240413374
5000, 2000, 6, 0.9999999999999964, 0.8323949227343224
5000, 500, 9, 1.0000000000000029, 0.831791960349095
5000, 2000, 7, 1.000000000000001, 0.8323318733952365
5000, 2000, 8, 1.0000000000000007, 0.8323389677515663
5000, 2000, 9, 1.0000000000000029, 0.8324454482455567
